"gene","cosmid","contrast","qpcr_log2fc","qpcr_sem","qpcr_n_runs","qpcr_pvalue","qpcr_padj_BH","rnaseq_log2fc","rnaseq_padj","rnaseq_baseMean","direction_agrees"
"ceh-74","ZC376.4","geno_trt",0.0859617237427672,NA,1,NA,NA,2.77587422641701,1.98983112184995e-12,464.293019329684,TRUE
"fbxa-128","Y47D3A.2","geno_trt",1.03323638904043,NA,1,NA,NA,-0.0834878135702652,0.781910887541298,490.5917447855,FALSE
"fbxa-79","Y82E9BL.13","geno_trt",0.737545522643367,0.263023897502634,2,0.218080883206831,0.508855394149273,-1.78934665273884,0.000309512995015388,548.848310235663,FALSE
"nhr-58","R11G11.2","geno_trt",0.552955732731141,0.342942779555609,2,0.353412911636973,0.587201654216635,0.0711546397683253,0.818200458945596,1530.94728319697,TRUE
"oac-7","C31A11.7","geno_trt",0.437396016365085,0.545063378200393,4,0.480967848642285,0.673354988099199,0.141711840705195,0.603530666340618,542.541401947848,TRUE
"t22f3.11","T22F3.11","geno_trt",-0.124212240798374,0.45796161129505,3,0.811645280942216,0.890695344486473,-0.0473604086111861,0.859534957921547,230.490517210569,TRUE
"ugt-29","Y49C4A.8","geno_trt",0.191060192216963,0.744960241750072,2,0.840170848005576,0.890695344486473,0.0412679136086186,0.892128699121892,8723.69924062121,TRUE
"ugt-31","Y39G10AR.6","geno_trt",0.873309828076312,0.316888857435257,5,0.0510647286530523,0.291004662347786,0.278353392160753,0.150185762594079,3744.41050264088,TRUE
"zip-2","K02F3.4","geno_trt",1.4839951111398,NA,1,NA,NA,-0.235162009788065,0.362838615426821,30871.0264427309,FALSE
"ceh-74","ZC376.4","geno_unt",4.21017466180378,1.03830671250958,3,0.055780420490206,0.291004662347786,3.43703324470239,3.77783360394124e-17,464.293019329684,TRUE
"cest-34","K11G9.1","geno_unt",3.79198863822454,NA,1,NA,NA,2.55077218382562,7.46620723273384e-18,368.422454659335,TRUE
"daf-16","R13H8.1","geno_unt",-3.58385884501283,NA,1,NA,NA,-0.0378761265507173,0.95110361082702,4764.86957076004,TRUE
"fbxa-128","Y47D3A.2","geno_unt",5.01419562781514,3.2602135655447,2,0.367019894403107,0.587201654216635,2.42981205241296,5.25173599175971e-16,490.5917447855,TRUE
"fbxa-79","Y82E9BL.13","geno_unt",1.17620635861721,0.156744222941008,2,0.0843406319442498,0.295192211804874,-1.55039511422082,0.0115918579135822,548.848310235663,FALSE
"nhr-58","R11G11.2","geno_unt",-0.0686738201723686,0.396036765746666,2,0.890695344486473,0.890695344486473,1.58229375704481,2.99708059564604e-05,1530.94728319697,FALSE
"oac-7","C31A11.7","geno_unt",1.81589089829444,0.73654478539278,5,0.0692868243685205,0.291004662347786,2.3584184731175,6.60192919016355e-16,542.541401947848,TRUE
"pals-24","C29F9.4","geno_unt",1.66525465029016,NA,1,NA,NA,2.22046619903251,3.41812237077744e-28,1562.51903701675,TRUE
"t22f3.11","T22F3.11","geno_unt",-8.37366537762987,NA,1,NA,NA,-0.938071456195128,0.104922062787177,230.490517210569,TRUE
"t22f3.11","T22F3.11","geno_unt",-3.00234091586428,2.76837112692002,3,0.391467769477757,0.587201654216635,-0.938071456195128,0.104922062787177,230.490517210569,TRUE
"ugt-29","Y49C4A.8","geno_unt",2.22940610823306,1.0292570882919,2,0.275350058411359,0.578235122663853,2.64909365443824,5.33482327346294e-92,8723.69924062121,TRUE
"ugt-31","Y39G10AR.6","geno_unt",0.746497296075784,1.66078329792516,5,0.676361760844607,0.83550570457275,3.1574249190597,6.72633748354642e-82,3744.41050264088,TRUE
"zip-2","K02F3.4","geno_unt",0.116992074293256,0.75157004993108,3,0.890590023536487,0.890695344486473,0.493606964189522,0.153931434991055,30871.0264427309,TRUE
"ceh-74","ZC376.4","treat_N2",-2.20215351404297,NA,1,NA,NA,0.823458119181674,0.0521589895322766,464.293019329684,FALSE
"fbxa-128","Y47D3A.2","treat_N2",0.879510696200967,NA,1,NA,NA,2.85215583140551,4.36064033233357e-23,490.5917447855,TRUE
"fbxa-79","Y82E9BL.13","treat_N2",1.774592325081,0.386693161051902,2,0.136587714007791,0.358542749270451,2.08084948841072,9.79917945745767e-05,548.848310235663,TRUE
"nhr-58","R11G11.2","treat_N2",0.765393933656181,1.28238904443538,2,0.657434821959671,0.83550570457275,1.34697367582997,0.000105732588646297,1530.94728319697,TRUE
"oac-7","C31A11.7","treat_N2",1.65844881053306,0.778551195721776,4,0.12299102558808,0.358542749270451,2.94536857139011,1.23523287293962e-25,542.541401947848,TRUE
"t22f3.11","T22F3.11","treat_N2",-1.63178625672018,1.24970401484189,3,0.321632863451208,0.587201654216635,-2.67459019943689,0.000118666345040984,230.490517210569,TRUE
"ugt-29","Y49C4A.8","treat_N2",4.0053861914817,0.232441446134002,2,0.0369030681629387,0.291004662347786,3.6033934885482,4.46394315574281e-172,8723.69924062121,TRUE
"ugt-31","Y39G10AR.6","treat_N2",2.41499278209115,0.183568397733496,5,0.0001928117798295,0.0040490473764208,2.29599461014364,6.85170481387025e-44,3744.41050264088,TRUE
"zip-2","K02F3.4","treat_N2",-0.0345970004076314,NA,1,NA,NA,1.51478550220769,2.11924958878096e-07,30871.0264427309,FALSE
