gene_symbol	covered_by_15	is_orphan
y39g10ar.6	TRUE	FALSE
c10h11.4	TRUE	FALSE
c10h11.3	TRUE	FALSE
k02f2.6	FALSE	TRUE
e03h4.8	FALSE	TRUE
t24e12.5	FALSE	TRUE
k10g6.4	TRUE	FALSE
f22b5.4	FALSE	TRUE
f35c5.10	TRUE	FALSE
f37b1.2	TRUE	FALSE
f37b1.8	TRUE	FALSE
k10h10.2	TRUE	FALSE
c29f9.4	TRUE	FALSE
t24c4.8	FALSE	TRUE
t12b5.10	TRUE	FALSE
y34f4.4	FALSE	TRUE
zc47.14	TRUE	FALSE
zc47.13	TRUE	FALSE
y39a3a.4	FALSE	TRUE
f43c1.7	FALSE	TRUE
b0284.2	TRUE	FALSE
f42a10.7	FALSE	TRUE
c16a3.7	TRUE	FALSE
c02f5.8	TRUE	FALSE
y47d3a.2	TRUE	FALSE
y47d3b.10	TRUE	FALSE
k11h12.3	FALSE	TRUE
k11h12.4	FALSE	TRUE
c45g7.3	TRUE	FALSE
k06b9.5	FALSE	TRUE
c49a9.8	TRUE	FALSE
c42d4.2	TRUE	FALSE
c50f7.5	FALSE	TRUE
c33d9.13	FALSE	TRUE
c10c5.2	TRUE	FALSE
c10c5.3	FALSE	TRUE
zk617.2	FALSE	TRUE
f28d1.3	TRUE	FALSE
k08d8.4	FALSE	TRUE
f49e11.10	TRUE	FALSE
y57g11c.32	FALSE	TRUE
r11g11.2	TRUE	FALSE
y49c4a.8	TRUE	FALSE
c07g3.2	TRUE	FALSE
t24a6.7	FALSE	TRUE
k09d9.1	FALSE	TRUE
c49g7.7	FALSE	TRUE
c49g7.12	FALSE	TRUE
c49g7.10	FALSE	TRUE
c49g7.5	TRUE	FALSE
y58a7a.3	FALSE	TRUE
y58a7a.4	FALSE	TRUE
y58a7a.5	FALSE	TRUE
f14f9.2	FALSE	TRUE
f08f3.7	TRUE	FALSE
f44c4.3	TRUE	FALSE
e02c12.6	FALSE	TRUE
e02c12.8	FALSE	TRUE
f17c11.11	FALSE	TRUE
c45b11.2	FALSE	TRUE
c52e4.1	TRUE	FALSE
zc455.5	TRUE	FALSE
zc443.5	TRUE	FALSE
zc443.6	TRUE	FALSE
t16g1.6	FALSE	TRUE
t16g1.5	FALSE	TRUE
f15b9.6	FALSE	TRUE
c06b3.7	FALSE	TRUE
r10d12.17	TRUE	FALSE
t08g5.10	TRUE	FALSE
c25d7.5	FALSE	TRUE
t06e6.5	TRUE	FALSE
t26h5.4	FALSE	TRUE
y6e2a.4	FALSE	TRUE
f54b8.4	FALSE	TRUE
f44g3.8	FALSE	TRUE
f10a3.4	FALSE	TRUE
c31a11.7	TRUE	FALSE
y70c5c.6	TRUE	FALSE
zk228.4	FALSE	TRUE
y17d7b.3	FALSE	TRUE
y39b6a.1	FALSE	TRUE
c05e11.5	TRUE	FALSE
t22b7.7	FALSE	TRUE
f16f9.2	TRUE	FALSE
zc373.6	TRUE	FALSE
t21e8.2	TRUE	FALSE
t21e8.1	TRUE	FALSE
f42e11.1	FALSE	TRUE
f22e10.1	TRUE	FALSE
